"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"253AGQAP","journalArticle","2016","Fu, Ting; Mao, Yijin; Tang, Yong; Zhang, Yuwen; Yuan, Wei","Effect of nanostructure on rapid boiling of water on a hot copper plate: a molecular dynamics study","Heat and Mass Transfer","","1432-1181","10.1007/s00231-015-1668-2","https://doi.org/10.1007/s00231-015-1668-2","Molecular dynamic simulations are performed to study the effects of nanostructure on rapid boiling of water that is suddenly heated by a hot copper plate. The results show that the nanostructure has significant effects on energy transfer from solid copper plate to liquid water and phase change process from liquid water to vapor. The liquid water on the solid surface rapidly boil after contacting with an extremely hot copper plate and consequently a cluster of liquid water moves upward during phase change. The temperature of the water film when it separates from solid surface and its final temperature when the system is at equilibrium strongly depend on the size of the nanostructure. These temperatures increase with increasing size of nanostructure. Furthermore, a non-vaporized molecular layer is formed on the surface of the copper plate even continuous heat flux is passing into water domain through the plate.","2016-08-01","2021-06-07 01:33:46","2021-06-07 01:33:46","2021-06-07 01:33:46","1469-1478","","8","52","","Heat Mass Transfer","Effect of nanostructure on rapid boiling of water on a hot copper plate","","","","","","","en","","","","","Springer Link","","","","C:\Users\bonga\OneDrive\Zliterature\BOiling\ThinFilmBoilingMD\2016_Heat Mass Transfer_Fu et al_Effect of nanostructure on rapid boiling of water on a hot copper plate.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FPQ42JAK","journalArticle","2010","Maroo, Shalabh C.; Chung, J. N.","Heat transfer characteristics and pressure variation in a nanoscale evaporating meniscus","International Journal of Heat and Mass Transfer","","0017-9310","10.1016/j.ijheatmasstransfer.2010.02.030","https://www.sciencedirect.com/science/article/pii/S0017931010001055","A nanoscale evaporating meniscus is simulated in this work using molecular dynamics. The heat and mass transfer characteristics and pressure variation in the non-evaporating and interline regions are studied. Very high heat and evaporation flux rates of the order of 100MW/m2 and 1000kg/m2s, respectively, are achieved. The disjoining pressure increased significantly after the formation of the non-evaporating film. High negative liquid pressure induced due to capillary and disjoining pressures are obtained. Cavitation cannot occur as the film thickness is smaller than the critical cavitation radius, and the meniscus can exist in metastable state. A curve-fitted meniscus boundary condition is developed; a force function of the form Fn=An−3−Cn−2 can be applied at the boundaries of a liquid film to create curvature and form a meniscus.","2010-07-01","2021-06-07 01:42:14","2021-06-07 01:42:18","2021-06-07 01:42:14","3335-3345","","15","53","","International Journal of Heat and Mass Transfer","","","","","","","","en","","","","","ScienceDirect","","","","C:\Users\bonga\OneDrive\Zliterature\Evaporation paper\2010_International Journal of Heat and Mass Transfer_Maroo_Chung_Heat transfer characteristics and pressure variation in a nanoscale evaporating.pdf; C:\Users\bonga\Zotero\storage\5I64N2Y4\S0017931010001055.html","","","Capillary pressure; Disjoining pressure; Meniscus; Molecular dynamics; Nanoscale","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NWGQVWHL","journalArticle","2016","Shavik, Sheikh Mohammad; Hasan, Mohammad Nasim; Monjur Morshed, A. K. M.","Molecular Dynamics Study on Explosive Boiling of Thin Liquid Argon Film on Nanostructured Surface Under Different Wetting Conditions","Journal of Electronic Packaging","","1043-7398","10.1115/1.4032463","https://doi.org/10.1115/1.4032463","Molecular dynamics (MDs) simulations have been performed to investigate the boiling phenomena of thin liquid film adsorbed on a nanostructured solid surface with particular emphasis on the effect of wetting condition of the solid surface. The molecular system consists of liquid and vapor argon and solid platinum wall. The nanostructures which reside on top of the solid wall have shape of rectangular block. The solid–liquid interfacial wettability, in other words whether the solid surface is hydrophilic or hydrophobic, has been altered for different cases to examine its effect on boiling phenomena. The initial configuration of the simulation domain comprises a three-phase system (solid platinum, liquid argon, and vapor argon), which was equilibrated at 90 K. After equilibrium period, the wall temperature was suddenly increased from 90 K to 250 K which is far above the critical point of argon and this initiates rapid or explosive boiling. The spatial and temporal variation of temperature and density as well as the variation of system pressure with respect to time were closely monitored for each case. The heat flux normal to the solid surface was also calculated to illustrate the effectiveness of heat transfer for different cases of wetting conditions of solid surface. The results show that the wetting condition of surface has significant effect on explosive boiling of the thin liquid film. The surface with higher wettability (hydrophilic) provides more favorable conditions for boiling than the low-wetting surface (hydrophobic), and therefore, the liquid argon responds quickly and shifts from liquid to vapor phase faster in the case of hydrophilic surface. The heat transfer rate is also much higher in the case of hydrophilic surface.","2016-03-10","2021-06-07 01:44:02","2021-06-07 01:44:02","2021-06-07 01:44:02","","","010904","138","","Journal of Electronic Packaging","","","","","","","","","","","","","Silverchair","","","","C:\Users\bonga\OneDrive\Zliterature\BOiling\ThinFilmBoilingMD\2016_Journal of Electronic Packaging_Shavik et al_Molecular Dynamics Study on Explosive Boiling of Thin Liquid Argon Film on.pdf; C:\Users\bonga\Zotero\storage\IMP4CX5Z\384604.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RYGBK6HG","journalArticle","2016","Wang, Weirong; Huang, Shenghong; Luo, Xisheng","MD simulation on nano-scale heat transfer mechanism of sub-cooled boiling on nano-structured surface","International Journal of Heat and Mass Transfer","","0017-9310","10.1016/j.ijheatmasstransfer.2016.04.018","https://www.sciencedirect.com/science/article/pii/S0017931015315180","In recent years, surfaces with micro/nano-structures were recognized as effective in boiling heat transfer efficiency enhancement. However, macroscopic observations cannot fully clarify the fundamental mechanisms in a nano-scale regime. To understand the mechanism of sub-cooled boiling on the nano-structured surface in nano-scale view, sub-cooled boiling process and its interaction with different nano-structured configurations (cuboid and finger) at different wall superheated temperatures are computed with molecular dynamics. Nanobubbles of gas vapor are observed to be generated and condensed rapidly for nano-scale sub-cooled boiling. With the increasing of wall superheat, the aggregation and coalescence of adjacent nano bubbles become intense, resulting in the formation of a vapor layer separating the heated wall from cooled water liquid. It is found that nano bubbles are easy to be coalesced in horizontal directions in the case of a plain surface, resulting in an earlier formation of the vapor layer, while in the cases of nano-structured surfaces, a kind of nano-scale vertical convection induced by nano cavity is observed, which delays the vapor layer formation and intensifies the initial disturbance causing hydrodynamic instability of the vapor layer significantly. This finding clarifies the difference of heat transfer capacity between the case of nano-structured surfaces and the case of plain surfaces. In view of heat transfer efficiency, cases with nano-structured surfaces manifest a prominent increase of heat flux and critical heat flux values with the increase of wall superheat as compared with cases of plain surfaces, which is in good agreement with available macroscopical experimental results. Therefore, the nano-cavity-induced nano-scale vertical convection mechanism can give a more fundamental explanation to those macroscopic observations.","2016-09-01","2021-06-07 02:00:30","2021-06-07 17:49:15","2021-06-07 02:00:30","276-286","","","100","","International Journal of Heat and Mass Transfer","","","","","","","","en","","","","","ScienceDirect","","","","C:\Users\bonga\OneDrive\Zliterature\BOiling\ThinFilmBoilingMD\2016_International Journal of Heat and Mass Transfer_Wang et al_MD simulation on nano-scale heat transfer mechanism of sub-cooled boiling on.pdf; C:\Users\bonga\Zotero\storage\E2NIZ292\S0017931015315180.html","","5.5/10","Heat transfer; Micro/nano-structures; Molecular dynamics simulation; Sub-cooled boiling","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3HIUGVRU","journalArticle","2018","Mukherjee, Saikat; Datta, Saikat; Kumar Das, Arup","Molecular Dynamic Study of Boiling Heat Transfer Over Structured Surfaces","Journal of Heat Transfer","","0022-1481","10.1115/1.4038480","https://doi.org/10.1115/1.4038480","A phase change heat transfer from liquid to gas is studied in nanoscopic framework using molecular dynamics. Water on structured Si substrate is observed from molecular viewpoint after employing heat flux at a constant rate. Initially, we observe that water settles down on the substrate occupying the free space within the notch to obtain its static shape maintaining intramolecular configuration based on attractive and repulsive forces in neighboring hydroxyl bonds. Upon applying heat flux, we observe that the molecular vibration increases which repels neighbors to make the packing loose. Molecular dilution initiated at the notch and then proceeds to the rest domain. Progressive loosening of the molecules leads to the formation of vapor bubbles which increase in size with time. The rate of growth of this bubble is studied as a function of surface geometry parameters such as notch height, notch width, notch type, and notch spacing. Present simulations enrich the knowledge of surface characteristics on boiling heat transfer from fundamental principle in the molecular domain.","2018-02-06","2021-06-07 06:48:43","2021-06-07 06:48:43","2021-06-07 06:48:43","","","054503","140","","Journal of Heat Transfer","","","","","","","","","","","","","Silverchair","","","","C:\Users\bonga\OneDrive\Zliterature\BOiling\ThinFilmBoilingMD\2018_Journal of Heat Transfer_Mukherjee et al_Molecular Dynamic Study of Boiling Heat Transfer Over Structured Surfaces.pdf; C:\Users\bonga\Zotero\storage\HLGPKXLD\383930.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6JAQ7MBU","journalArticle","2015","Kim, Dong Eok; Yu, Dong In; Jerng, Dong Wook; Kim, Moo Hwan; Ahn, Ho Seon","Review of boiling heat transfer enhancement on micro/nanostructured surfaces","Experimental Thermal and Fluid Science","","0894-1777","10.1016/j.expthermflusci.2015.03.023","https://www.sciencedirect.com/science/article/pii/S0894177715000928","In the recent decades, the rapid growth of surface modification and fabrication technologies has facilitated the achievement of boiling heat transfer enhancement on micro/nanostructured surfaces. In this paper, several researches on the micro/nanostructured surfaces that have been designed to enhance boiling heat transfer are introduced and closely reviewed. Firstly, theoretical and experimental researches on nucleate boiling heat transfer (NBHT) and critical heat flux (CHF) are introduced in the outline. The fabrication techniques for achieving these engineered surfaces, which are technically classified into machining, coating, chemical process, and micro/nanoelectromechanical systems, are described in detail in the paper. Explanations and analysis of the results of boiling heat transfer enhancement tests are presented in view of NBHT and CHF. Finally, the special features of the existing surfaces capable of enhancing boiling heat transfer are summarized, and the need for future research is also presented.","2015-09-01","2021-06-07 16:48:18","2021-06-07 16:48:18","2021-06-07 16:48:18","173-196","","","66","","Experimental Thermal and Fluid Science","","","","","","","","en","","","","","ScienceDirect","","","","C:\Users\bonga\OneDrive\Zliterature\BOiling\surface_modifications\2015_Experimental Thermal and Fluid Science_Kim et al_Review of boiling heat transfer enhancement on micro-nanostructured surfaces.pdf; C:\Users\bonga\Zotero\storage\JCI8FGHH\S0894177715000928.html","","","Critical heat flux; Enhancement; Microstructures; Nanostructures; Nucleate boiling heat transfer","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"69BNJDB6","journalArticle","2013","Bodla, Karthik K.; Murthy, Jayathi Y.; Garimella, Suresh V.","Evaporation analysis in sintered wick microstructures","International Journal of Heat and Mass Transfer","","0017-9310","10.1016/j.ijheatmasstransfer.2013.02.038","https://www.sciencedirect.com/science/article/pii/S0017931013001531","Heat pipes offer passive transport of heat over long distances without incurring a significant drop in temperature. Topological and microstructural details of the wick material embedded in a heat pipe help determine its thermal performance. A good understanding of pore-scale transport phenomena is crucial to enhancing heat pipe performance. In this study, pore-scale analysis of thin-film evaporation through sintered copper wicks is performed. X-ray microtomography is employed to generate geometrically faithful, feature-preserving meshes. Commercial sintered wicks with particle sizes in the range of 45–60μm, 106–150μm and 250–355μm and with approximately 61% porosity are considered. The capillary pressure, characteristic pore radius, percentage thin film area and evaporative mass and heat fluxes are computed using a volume of fluid (VOF) approach. Two different solution strategies are employed to stabilize the numerical solution and to improve convergence. After verifying that these strategies yield the correct solution, the VOF model is used to obtain static meniscus shapes in the pore space of the sintered wick samples. The meniscus shape is then held fixed and steady-state, thin-film evaporation analysis is performed. Liquid–vapor phase change heat transfer is modeled using a modified Schrage equation. Based on the present analysis, the best performing sample (particle size range) is identified along with the optimum contact angle.","2013-06-01","2021-06-08 19:02:28","2021-06-08 19:02:28","2021-06-08 19:02:28","729-741","","","61","","International Journal of Heat and Mass Transfer","","","","","","","","en","","","","","ScienceDirect","","","","C:\Users\bonga\OneDrive\Zliterature\Evaporation paper\2013_International Journal of Heat and Mass Transfer_Bodla et al_Evaporation analysis in sintered wick microstructures2.pdf; C:\Users\bonga\Zotero\storage\7THGT4Q8\S0017931013001531.html","","","Capillary pressure; Evaporation heat transfer; Heat pipe; Sintered powder wick; Thin-film evaporation; X-ray microtomography","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"286LLQY8","journalArticle","2015","Chen, Xi; Goodnight, Davis; Gao, Zhenghan; Cavusoglu, Ahmet H.; Sabharwal, Nina; DeLay, Michael; Driks, Adam; Sahin, Ozgur","Scaling up nanoscale water-driven energy conversion into evaporation-driven engines and generators","Nature Communications","","2041-1723","10.1038/ncomms8346","https://www.nature.com/articles/ncomms8346","Evaporation is a ubiquitous phenomenon in the natural environment and a dominant form of energy transfer in the Earth’s climate. Engineered systems rarely, if ever, use evaporation as a source of energy, despite myriad examples of such adaptations in the biological world. Here, we report evaporation-driven engines that can power common tasks like locomotion and electricity generation. These engines start and run autonomously when placed at air–water interfaces. They generate rotary and piston-like linear motion using specially designed, biologically based artificial muscles responsive to moisture fluctuations. Using these engines, we demonstrate an electricity generator that rests on water while harvesting its evaporation to power a light source, and a miniature car (weighing 0.1 kg) that moves forward as the water in the car evaporates. Evaporation-driven engines may find applications in powering robotic systems, sensors, devices and machinery that function in the natural environment.","2015-06-16","2021-06-08 21:28:40","2021-06-08 21:28:40","2021-06-08 21:28:40","7346","","1","6","","Nat Commun","","","","","","","","en","2015 The Author(s)","","","","www.nature.com","","Number: 1 Publisher: Nature Publishing Group","","C:\Users\bonga\OneDrive\Zliterature\Evaporation paper\2015_Nat Commun_Chen et al_Scaling up nanoscale water-driven energy conversion into evaporation-driven.pdf; C:\Users\bonga\Zotero\storage\APE75G7X\ncomms8346.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6HCA5S5U","journalArticle","2018","Zhu, Pingan; Kong, Tiantian; Zhou, Chunmei; Lei, Leyan; Wang, Liqiu","Engineering Microstructure with Evaporation-Induced Self-Assembly of Microdroplets","Small Methods","","2366-9608","10.1002/smtd.201800017","https://onlinelibrary.wiley.com/doi/abs/10.1002/smtd.201800017","Natural systems have exceptional capabilities of constructing structures across multiple length scales for remarkable performances from limited choices of building blocks. However, simultaneous control over structures at both the macroscopic and microscopic length scales is restricted by the high requirements in the type and property of building blocks. Here, directed self-assembly of microdroplets in an evaporating liquid is harnessed to fabricate large-scale ordered films with precisely controlled microstructures. Evaporation-induced variations in liquid confinement allow microdroplets to reassemble for large-scale ordered patterns. Deformation of microdroplets into different shapes accurately defines multiple topographical structures at the microdroplet level. The fabrication process is facile and scalable, and works with various materials for manufacturing functional films with tunable properties. These results suggest a facile yet effective strategy for engineering microstructures by combining directed self-assembly with manipulation of the property of building components for both structural fidelity and diversity.","2018","2021-06-08 21:48:45","2021-06-08 21:48:45","2021-06-08 21:48:45","1800017","","6","2","","","","","","","","","","en","© 2018 WILEY-VCH Verlag GmbH & Co. KGaA, Weinheim","","","","Wiley Online Library","","_eprint: https://onlinelibrary.wiley.com/doi/pdf/10.1002/smtd.201800017","","C:\Users\bonga\OneDrive\Zliterature\Evaporation paper\2018_Zhu et al_Engineering Microstructure with Evaporation-Induced Self-Assembly of.pdf; C:\Users\bonga\Zotero\storage\V3CMZB3H\smtd.html","","","deformability; evaporation; microfluidics; microstructures; self-assembly of microdroplets","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4WX4KLZU","journalArticle","2014","Ghasemi, Hadi; Ni, George; Marconnet, Amy Marie; Loomis, James; Yerci, Selcuk; Miljkovic, Nenad; Chen, Gang","Solar steam generation by heat localization","Nature Communications","","2041-1723","10.1038/ncomms5449","https://www.nature.com/articles/ncomms5449","Currently, steam generation using solar energy is based on heating bulk liquid to high temperatures. This approach requires either costly high optical concentrations leading to heat loss by the hot bulk liquid and heated surfaces or vacuum. New solar receiver concepts such as porous volumetric receivers or nanofluids have been proposed to decrease these losses. Here we report development of an approach and corresponding material structure for solar steam generation while maintaining low optical concentration and keeping the bulk liquid at low temperature with no vacuum. We achieve solar thermal efficiency up to 85% at only 10 kW m−2. This high performance results from four structure characteristics: absorbing in the solar spectrum, thermally insulating, hydrophilic and interconnected pores. The structure concentrates thermal energy and fluid flow where needed for phase change and minimizes dissipated energy. This new structure provides a novel approach to harvesting solar energy for a broad range of phase-change applications.","2014-07-21","2021-06-08 21:53:27","2021-06-08 21:53:27","2021-06-08 21:53:27","4449","","1","5","","Nat Commun","","","","","","","","en","2014 Nature Publishing Group, a division of Macmillan Publishers Limited. All Rights Reserved.","","","","www.nature.com","","Number: 1 Publisher: Nature Publishing Group","","C:\Users\bonga\OneDrive\Zliterature\Evaporation paper\2014_Nat Commun_Ghasemi et al_Solar steam generation by heat localization2.pdf; C:\Users\bonga\Zotero\storage\SWXBIBSQ\ncomms5449.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"U5NMPV66","journalArticle","2016","Ni, George; Li, Gabriel; Boriskina, Svetlana V.; Li, Hongxia; Yang, Weilin; Zhang, TieJun; Chen, Gang","Steam generation under one sun enabled by a floating structure with thermal concentration","Nature Energy","","2058-7546","10.1038/nenergy.2016.126","https://www.nature.com/articles/nenergy2016126","Harvesting solar energy as heat has many applications, such as power generation, residential water heating, desalination, distillation and wastewater treatment. However, the solar flux is diffuse, and often requires optical concentration, a costly component, to generate the high temperatures needed for some of these applications. Here we demonstrate a floating solar receiver capable of generating 100 ∘C steam under ambient air conditions without optical concentration. The high temperatures are achieved by using thermal concentration and heat localization, which reduce the convective, conductive and radiative heat losses. This demonstration of a low-cost and scalable solar vapour generator holds the promise of significantly expanding the application domain and reducing the cost of solar thermal systems.","2016-08-22","2021-06-08 21:53:42","2021-06-08 21:53:42","2021-06-08 21:53:42","1-7","","9","1","","Nat Energy","","","","","","","","en","2016 Nature Publishing Group","","","","www.nature.com","","Number: 9 Publisher: Nature Publishing Group","","C:\Users\bonga\OneDrive\Zliterature\Evaporation paper\2016_Nat Energy_Ni et al_Steam generation under one sun enabled by a floating structure with thermal.pdf; C:\Users\bonga\Zotero\storage\MBBRVTZE\nenergy2016126.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3JZBIR2G","journalArticle","2009","Varghese, Oomman K.; Paulose, Maggie; LaTempa, Thomas J.; Grimes, Craig A.","High-Rate Solar Photocatalytic Conversion of CO2 and Water Vapor to Hydrocarbon Fuels","Nano Letters","","1530-6984","10.1021/nl803258p","https://doi.org/10.1021/nl803258p","Efficient solar conversion of carbon dioxide and water vapor to methane and other hydrocarbons is achieved using nitrogen-doped titania nanotube arrays, with a wall thickness low enough to facilitate effective carrier transfer to the adsorbing species, surface-loaded with nanodimensional islands of cocatalysts platinum and/or copper. All experiments are conducted in outdoor sunlight at University Park, PA. Intermediate reaction products, hydrogen and carbon monoxide, are also detected with their relative concentrations underlying hydrocarbon production rates and dependent upon the nature of the cocatalysts on the nanotube array surface. Using outdoor global AM 1.5 sunlight, 100 mW/cm2, a hydrocarbon production rate of 111 ppm cm−2 h−1, or ≈160 μL/(g h), is obtained when the nanotube array samples are loaded with both Cu and Pt nanoparticles. This rate of CO2 to hydrocarbon production obtained under outdoor sunlight is at least 20 times higher than previous published reports, which were conducted under laboratory conditions using UV illumination.","2009-02-11","2021-06-08 21:59:33","2021-06-08 21:59:33","2021-06-08 21:59:33","731-737","","2","9","","Nano Lett.","","","","","","","","","","","","","ACS Publications","","Publisher: American Chemical Society","","C:\Users\bonga\OneDrive\Zliterature\Evaporation paper\2009_Nano Lett._Varghese et al_High-Rate Solar Photocatalytic Conversion of CO2 and Water Vapor to Hydrocarbon.pdf; C:\Users\bonga\Zotero\storage\Y52VXENX\nl803258p.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JLQ2CPEE","journalArticle","2017","Yang, Peihua; Liu, Kang; Chen, Qian; Li, Jia; Duan, Jiangjiang; Xue, Guobin; Xu, Zisheng; Xie, Wenke; Zhou, Jun","Solar-driven simultaneous steam production and electricity generation from salinity","Energy & Environmental Science","","","10.1039/C7EE01804E","https://pubs.rsc.org/en/content/articlelanding/2017/ee/c7ee01804e","","2017","2021-06-08 22:01:22","2021-06-08 22:01:22","2021-06-08 22:01:22","1923-1927","","9","10","","","","","","","","","","en","","","","","pubs.rsc.org","","Publisher: Royal Society of Chemistry","","C:\Users\bonga\OneDrive\Zliterature\Evaporation paper\2017_Yang et al_Solar-driven simultaneous steam production and electricity generation from.pdf; C:\Users\bonga\Zotero\storage\SLQI6IL8\c7ee01804e.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"52DYEBFC","journalArticle","2016","Li, Xiuqiang; Xu, Weichao; Tang, Mingyao; Zhou, Lin; Zhu, Bin; Zhu, Shining; Zhu, Jia","Graphene oxide-based efficient and scalable solar desalination under one sun with a confined 2D water path","Proceedings of the National Academy of Sciences","","0027-8424, 1091-6490","10.1073/pnas.1613031113","https://www.pnas.org/content/113/49/13953","Because it is able to produce desalinated water directly using solar energy with minimum carbon footprint, solar steam generation and desalination is considered one of the most important technologies to address the increasingly pressing global water scarcity. Despite tremendous progress in the past few years, efficient solar steam generation and desalination can only be achieved for rather limited water quantity with the assistance of concentrators and thermal insulation, not feasible for large-scale applications. The fundamental paradox is that the conventional design of direct absorber−bulk water contact ensures efficient energy transfer and water supply but also has intrinsic thermal loss through bulk water. Here, enabled by a confined 2D water path, we report an efficient (80% under one-sun illumination) and effective (four orders salinity decrement) solar desalination device. More strikingly, because of minimized heat loss, high efficiency of solar desalination is independent of the water quantity and can be maintained without thermal insulation of the container. A foldable graphene oxide film, fabricated by a scalable process, serves as efficient solar absorbers (>94%), vapor channels, and thermal insulators. With unique structure designs fabricated by scalable processes and high and stable efficiency achieved under normal solar illumination independent of water quantity without any supporting systems, our device represents a concrete step for solar desalination to emerge as a complementary portable and personalized clean water solution.","2016-12-06","2021-06-08 22:06:18","2021-06-08 22:06:18","2021-06-08 22:06:18","13953-13958","","49","113","","PNAS","","","","","","","","en","©  . http://www.pnas.org/site/misc/userlicense.xhtml","","","","www.pnas.org","","Publisher: National Academy of Sciences Section: Physical Sciences PMID: 27872280","","C:\Users\bonga\OneDrive\Zliterature\Evaporation paper\2016_PNAS_Li et al_Graphene oxide-based efficient and scalable solar desalination under one sun.pdf; ; C:\Users\bonga\Zotero\storage\3HXDAT9W\13953.html","http://www.ncbi.nlm.nih.gov/pubmed/27872280","","2D water path; graphene oxide; heat localization; solar desalination; solar steam","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HJ63T93T","journalArticle","1964","Deryagin, B. V.; Nerpin, S. V.; Churaev, N. V.","To the theory of liquid evaporation from capillaries","Kolloidn. Zh","","","","","","1964","2021-06-08 22:12:23","2021-06-08 22:12:23","","301–307","","","26","","","","","","","","","","","","","","","Google Scholar","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"T6GEDJVU","journalArticle","2013","Yan, Chunji; Ma, H. B.","Analytical Solutions of Heat Transfer and Film Thickness in Thin-Film Evaporation","Journal of Heat Transfer","","0022-1481","10.1115/1.4007856","https://doi.org/10.1115/1.4007856","","2013-02-08","2021-06-08 22:24:34","2021-06-08 22:24:34","2021-06-08 22:24:34","","","3","135","","Journal of Heat Transfer","","","","","","","","","","","","","Silverchair","","","","C:\Users\bonga\OneDrive\Zliterature\Evaporation paper\2013_Journal of Heat Transfer_Yan_Ma_Analytical Solutions of Heat Transfer and Film Thickness in Thin-Film.pdf; C:\Users\bonga\Zotero\storage\PNBIFK8M\Analytical-Solutions-of-Heat-Transfer-and-Film.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EM53LNRY","journalArticle","2007","Wang, Hao; Garimella, Suresh V.; Murthy, Jayathi Y.","Characteristics of an evaporating thin film in a microchannel","International Journal of Heat and Mass Transfer","","0017-9310","10.1016/j.ijheatmasstransfer.2007.01.052","https://www.sciencedirect.com/science/article/pii/S0017931007001603","An evaporating meniscus in a microchannel is investigated through an augmented Young–Laplace model and the kinetic theory-based expression for mass transport across a liquid–vapor interface. The complete expression for mass transport is employed without any approximations and boundary conditions for the film profile are developed. The thin film and the intrinsic-meniscus regions are distinguished based on the disjoining pressure variation along the meniscus. While heat transfer in the thin-film region is found to be relatively insensitive to channels larger than a few micrometers in radius, that in the intrinsic meniscus is quite sensitive to channel size. The role of evaporation suppression due to capillary pressure in both regions is discussed. Compared to the relatively small contribution to overall heat transfer from the thin-film region, the micro-region (defined here as extending from the non-evaporating region to a location where the film is 1μm thick) is found to account for more than 50% of the total heat transfer.","2007-09-01","2021-06-08 22:25:04","2021-06-08 22:25:04","2021-06-08 22:25:04","3933-3942","","19","50","","International Journal of Heat and Mass Transfer","","","","","","","","en","","","","","ScienceDirect","","","","C:\Users\bonga\OneDrive\Zliterature\Evaporation paper\2007_International Journal of Heat and Mass Transfer_Wang et al_Characteristics of an evaporating thin film in a microchannel.pdf; C:\Users\bonga\Zotero\storage\AMR9EJT5\S0017931007001603.html","","","Liquid cooling; Meniscus; Evaporation; Microchannel; Thin-film; Triple line","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D3R6RDBB","journalArticle","1980","Wayner, P. C","Interfacial profile in the contact line region of a finite contact angle system","Journal of Colloid and Interface Science","","0021-9797","10.1016/0021-9797(80)90322-7","https://www.sciencedirect.com/science/article/pii/0021979780903227","The Young-Laplace equation of capillarity augmented by the disjoining pressure concept of Deryagin has been used to obtain the interfacial profile in the contact line region of a finite contact angle system. An initial interfacial slope identical to zero and an initial effective thin-film thickness of the order of interatomic spacing lead to a finite apparent contact angle and substantial initial curvature. The results agree with published data on the apparent contact angles of the alkane-PTFE system.","1980-10-01","2021-06-08 22:26:33","2021-06-08 22:26:33","2021-06-08 22:26:33","495-500","","2","77","","Journal of Colloid and Interface Science","","","","","","","","en","","","","","ScienceDirect","","","","C:\Users\bonga\OneDrive\Zliterature\Evaporation paper\1980_Journal of Colloid and Interface Science_Wayner_Interfacial profile in the contact line region of a finite contact angle system.pdf; C:\Users\bonga\Zotero\storage\C2IR7DDS\0021979780903227.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
